problem,solver,best_fitness,execution_time,population_size,offspring_size,generations,strategy,mutation_rate
problem_r1_1000,EC,6103.1527746058955,121.52108502388,50,100,100,mu+lambda,0.1
problem_r1_1000,EC,6656.135611600143,121.8848147392273,50,100,100,"mu,lambda",0.1
problem_r1_1000,EC,6183.99921636416,242.47918581962585,50,200,100,mu+lambda,0.1
problem_r1_1000,EC,6290.060137817788,235.58737707138062,50,200,100,"mu,lambda",0.1
problem_r1_1000,EC,5979.954666738156,343.05381202697754,50,300,100,mu+lambda,0.1
problem_r1_1000,EC,5695.613753389288,329.3305139541626,50,300,100,"mu,lambda",0.1
problem_r1_1000,EC,6323.184975212949,134.77551102638245,100,100,100,mu+lambda,0.1
problem_r1_1000,EC,5957.1241395789475,137.39925599098206,100,100,100,"mu,lambda",0.1
problem_r1_1000,EC,6049.648411478245,248.4995996952057,100,200,100,mu+lambda,0.1
problem_r1_1000,EC,5777.595760342945,248.67486000061035,100,200,100,"mu,lambda",0.1
problem_r1_1000,EC,5929.003722028318,349.7347049713135,100,300,100,mu+lambda,0.1
problem_r1_1000,EC,5903.781081381273,371.3425238132477,100,300,100,"mu,lambda",0.1
problem_r1_1000,EC,6148.286284780949,151.74391770362854,150,100,100,mu+lambda,0.1
problem_r1_1000,EC,5817.390549054853,145.28634190559387,150,100,100,"mu,lambda",0.1
problem_r1_1000,EC,5572.812420785821,269.14502906799316,150,200,100,mu+lambda,0.1
problem_r1_1000,EC,6093.506056502721,270.514976978302,150,200,100,"mu,lambda",0.1
problem_r1_1000,EC,5811.486453504954,376.0939939022064,150,300,100,mu+lambda,0.1
problem_r1_1000,EC,5320.890253959862,372.20898818969727,150,300,100,"mu,lambda",0.1
problem_r1_1000,EC,6376.589429683964,129.4849352836609,50,100,100,mu+lambda,0.2
problem_r1_1000,EC,6287.625460105724,126.49796199798584,50,100,100,"mu,lambda",0.2
problem_r1_1000,EC,6297.7385034653735,236.72087287902832,50,200,100,mu+lambda,0.2
problem_r1_1000,EC,6322.496418395717,241.7840759754181,50,200,100,"mu,lambda",0.2
problem_r1_1000,EC,5794.444951790085,357.76220202445984,50,300,100,mu+lambda,0.2
problem_r1_1000,EC,6148.2949304589165,356.11219215393066,50,300,100,"mu,lambda",0.2
problem_r1_1000,EC,6001.550643168177,137.4043688774109,100,100,100,mu+lambda,0.2
problem_r1_1000,EC,6528.3557044223335,151.44064092636108,100,100,100,"mu,lambda",0.2
problem_r1_1000,EC,5962.2163123180735,247.48582768440247,100,200,100,mu+lambda,0.2
problem_r1_1000,EC,5974.740372897325,252.30085563659668,100,200,100,"mu,lambda",0.2
problem_r1_1000,EC,5874.35234274989,354.9784519672394,100,300,100,mu+lambda,0.2
problem_r1_1000,EC,6014.320621050058,351.8834159374237,100,300,100,"mu,lambda",0.2
problem_r1_1000,EC,5871.928907447795,149.1219608783722,150,100,100,mu+lambda,0.2
problem_r1_1000,EC,5888.38967832943,149.4296498298645,150,100,100,"mu,lambda",0.2
problem_r1_1000,EC,6066.950510543946,266.74259090423584,150,200,100,mu+lambda,0.2
problem_r1_1000,EC,5883.450695489023,260.8358829021454,150,200,100,"mu,lambda",0.2
problem_r1_1000,EC,5653.05345504626,375.55039620399475,150,300,100,mu+lambda,0.2
problem_r1_1000,EC,5517.204544625337,373.5315020084381,150,300,100,"mu,lambda",0.2
problem_r1_1000,EC,6572.195048618382,128.7464280128479,50,100,100,mu+lambda,0.3
problem_r1_1000,EC,6383.115455743512,123.69937992095947,50,100,100,"mu,lambda",0.3
problem_r1_1000,EC,5849.340155072702,232.72220420837402,50,200,100,mu+lambda,0.3
problem_r1_1000,EC,6159.270742389833,244.25891208648682,50,200,100,"mu,lambda",0.3
problem_r1_1000,EC,6202.767226955048,355.7419741153717,50,300,100,mu+lambda,0.3
problem_r1_1000,EC,6045.1876027687185,341.33267879486084,50,300,100,"mu,lambda",0.3
problem_r1_1000,EC,6041.046908475199,132.23053097724915,100,100,100,mu+lambda,0.3
problem_r1_1000,EC,6200.575654587944,135.40982341766357,100,100,100,"mu,lambda",0.3
problem_r1_1000,EC,6044.856691937002,249.22987484931946,100,200,100,mu+lambda,0.3
problem_r1_1000,EC,5580.171166117581,245.84687900543213,100,200,100,"mu,lambda",0.3
problem_r1_1000,EC,5978.123659205882,328.59660267829895,100,300,100,mu+lambda,0.3
problem_r1_1000,EC,5818.693746440372,308.30104303359985,100,300,100,"mu,lambda",0.3
problem_r1_1000,EC,5798.0736102854935,149.52787685394287,150,100,100,mu+lambda,0.3
problem_r1_1000,EC,5923.388045167871,147.20133018493652,150,100,100,"mu,lambda",0.3
problem_r1_1000,EC,6174.642570714859,228.45306420326233,150,200,100,mu+lambda,0.3
problem_r1_1000,EC,5682.254482772318,222.99004101753235,150,200,100,"mu,lambda",0.3
problem_r1_1000,EC,6032.762560015241,278.50571393966675,150,300,100,mu+lambda,0.3
problem_r1_1000,EC,5902.44185363683,247.9177372455597,150,300,100,"mu,lambda",0.3
